block_number,tx_hash,log_index,amount0_in_IXS,amount1_in_WETH,amount0_out_IXS,amount1_out_WETH,abs_WETH
23984071,20a578a0cc0da769f14e2a1a5057355df4d5372cc7161b8cf0d1130caafb4672,542,0.0,0.05871074151410346,1048.9624613153087,0.0,0.05871074151410346
23984076,ce54032f9a5fee7cd572f8a5300f3cab518faeb1950c480b7f288c015c971a80,41,11815.348747858085,0.0,0.0,0.6520722984787866,0.6520722984787866
23984076,1f0a160cf14dda7450730d3756eca0a6766274f680bbd6b5dbb182b35d35fd2e,47,0.0,0.18208496242026087,3300.6284722145415,0.0,0.18208496242026087
23984079,b30c9a581a6df7ade72d0a470c3385dd03845dbb65eda3b5bdea40eda115c942,65,0.0,0.036968387468853246,668.1265760157365,0.0,0.036968387468853246
23984079,e36b92a9296468ebfa2deac95714a1ebac83010b09891d62b59f497f5c38a09b,70,0.0,0.48746931491484313,8747.78373664923,0.0,0.48746931491484313
23984079,9a4b6fd0cd8d9580691c70d96e5a58dfcd29b31251c5b1db67f88adc64cd9818,74,668.126574916225,0.0,0.0,0.037234688326107136,0.037234688326107136
23984084,87ce52f358f0aa6546b68f282ed9eb361bb17ed939715788c925d0953c2f518d,110,0.0,0.11977745879547769,2134.004792244319,0.0,0.11977745879547769
23984097,4ec9fa5c67571c24bcb373a04e0ad6bdb62a460981c7fb2eb2e704689f7816f8,252,0.0,0.08816795647663765,1566.4421682513976,0.0,0.08816795647663765
23984131,cceeb2629d36896d7be6b723460b05de0af9cf021c459a825dc5b9db69117493,517,2314.64066319,0.0,0.0,0.12942809691645335,0.12942809691645335
23984132,9c3548cc78135468f7b35a7ec5e9810320f6881d8213a48c5d98d6e6f59ac7d6,219,4269.28246216032,0.0,0.0,0.23754471313633257,0.23754471313633257
23984268,95183f93508dff64b9be0af775a94c14fb2d99e3dec86fedce91e0698e02f8a6,1104,0.0,0.10075844954978348,1803.39,0.0,0.10075844954978348
23984463,1488d04de89bc3b4a01dfce2526f397fdb6c4b153bbd50ee08faaac3f33cf3fa,503,1294.6729931290097,0.0,0.0,0.07193026873530954,0.07193026873530954
23984501,217408f3163e97a93b2d75e3afa36062bddf860db87f82994c43a6b7e159964f,74,750.0,0.0,0.0,0.041604898624969994,0.041604898624969994
23984620,164e727ea2dfda01adfd38f2d92fc7532fdd37e98aad756507b732c219f5b584,619,0.0,0.013581748192752733,243.46048736808362,0.0,0.013581748192752733
23984674,64b21c69d30d7e86e413ce7cfede4257d05d6e71496d942fb904f0748859f9b3,649,0.0,0.0294,526.7056602187773,0.0,0.0294
23984724,9f9b46037e6f6f5058697c1b29c0388f875968e414093ddb3d5e11f3d25a9bf4,209,0.0,0.0079200875,141.81801860853793,0.0,0.0079200875
