period,block_number,timestamp,datetime_utc,direction,usd_notional_in,eth_usd,ixs_usd,amount_in,amount_in_unit,amount_out,amount_out_unit,spot_price,spot_price_unit,avg_exec_price,avg_exec_price_unit,gross_slippage_pct,slippage_excl_fees_pct_raw,fee_rate
UniV2 pre,23590125,1760616491,2025-10-16 12:08:11+00:00,IXS->ETH,5000.0,4067.1325135141037,0.19251081150790544,25972.56725913638,IXS,1.2180019456691398,ETH,4.733330199304751e-05,ETH_per_IXS,4.689570859579477e-05,ETH_per_IXS,0.9244937049120548,0.6244937049120548,0.003
UniV2 pre,23590125,1760616491,2025-10-16 12:08:11+00:00,IXS->ETH,10000.0,4067.1325135141037,0.19251081150790544,51945.13451827276,IXS,2.420840404944253,ETH,4.733330199304751e-05,ETH_per_IXS,4.6603795088694455e-05,ETH_per_IXS,1.5412127902257913,1.2412127902257912,0.003
UniV2 pre,23590125,1760616491,2025-10-16 12:08:11+00:00,IXS->ETH,50000.0,4067.1325135141037,0.19251081150790544,259725.6725913638,IXS,11.53003065001728,ETH,4.733330199304751e-05,ETH_per_IXS,4.439311114291698e-05,ETH_per_IXS,6.21167492300113,5.911674923001129,0.003
UniV2 pre,23590725,1760623775,2025-10-16 14:09:35+00:00,ETH->IXS,1000.0,3997.4455799347493,0.18656354944428774,0.25015975327331985,ETH,5337.129723995568,IXS,21426.723450758964,IXS_per_ETH,21334.885624724455,IXS_per_ETH,0.4286134846775029,0.1286134846775029,0.003
UniV2 pre,23590725,1760623775,2025-10-16 14:09:35+00:00,ETH->IXS,5000.0,3997.4455799347493,0.18656354944428774,1.2507987663665994,ETH,26548.657033435094,IXS,21426.723450758964,IXS_per_ETH,21225.36234230174,IXS_per_ETH,0.9397662172658886,0.6397662172658886,0.003
UniV2 pre,23590725,1760623775,2025-10-16 14:09:35+00:00,ETH->IXS,10000.0,3997.4455799347493,0.18656354944428774,2.5015975327331987,ETH,52758.7656623026,IXS,21426.723450758964,IXS_per_ETH,21090.029459958474,IXS_per_ETH,1.5713741374141927,1.271374137414193,0.003
UniV2 pre,23590725,1760623775,2025-10-16 14:09:35+00:00,ETH->IXS,50000.0,3997.4455799347493,0.18656354944428774,12.507987663665993,ETH,250991.2683402176,IXS,21426.723450758964,IXS_per_ETH,20066.478724576387,IXS_per_ETH,6.348356197850657,6.048356197850657,0.003
UniV2 pre,23590725,1760623775,2025-10-16 14:09:35+00:00,IXS->ETH,1000.0,3997.4455799347493,0.18656354944428774,5360.103851897519,IXS,0.24908753483755447,ETH,4.6670691498777833e-05,ETH_per_IXS,4.6470654621621837e-05,ETH_per_IXS,0.42861348467750304,0.12861348467750303,0.003
UniV2 pre,23590725,1760623775,2025-10-16 14:09:35+00:00,IXS->ETH,5000.0,3997.4455799347493,0.18656354944428774,26800.5192594876,IXS,1.2390441821143077,ETH,4.6670691498777833e-05,ETH_per_IXS,4.623209610670793e-05,ETH_per_IXS,0.9397662172658886,0.6397662172658887,0.003
UniV2 pre,23590725,1760623775,2025-10-16 14:09:35+00:00,IXS->ETH,10000.0,3997.4455799347493,0.18656354944428774,53601.0385189752,IXS,2.462288076081638,ETH,4.6670691498777833e-05,ETH_per_IXS,4.5937320322813675e-05,ETH_per_IXS,1.5713741374141927,1.271374137414193,0.003
UniV2 pre,23590725,1760623775,2025-10-16 14:09:35+00:00,IXS->ETH,50000.0,3997.4455799347493,0.18656354944428774,268005.192594876,IXS,11.713936053593258,ETH,4.6670691498777833e-05,ETH_per_IXS,4.3707869762435414e-05,ETH_per_IXS,6.348356197850657,6.048356197850657,0.003
UniV2 pre,23591325,1760631059,2025-10-16 16:10:59+00:00,ETH->IXS,1000.0,3905.016556214217,0.1806990683034453,0.2560808605045881,ETH,5510.143980151017,IXS,21610.607032331678,IXS_per_ETH,21517.203469613825,IXS_per_ETH,0.4322116568873389,0.13221165688733894,0.003
UniV2 pre,23591325,1760631059,2025-10-16 16:10:59+00:00,ETH->IXS,5000.0,3905.016556214217,0.1806990683034453,1.2804043025229406,ETH,27405.351518335065,IXS,21610.607032331678,IXS_per_ETH,21403.67028159377,IXS_per_ETH,0.9575702821688725,0.6575702821688726,0.003
UniV2 pre,23591325,1760631059,2025-10-16 16:10:59+00:00,ETH->IXS,10000.0,3905.016556214217,0.1806990683034453,2.560808605045881,ETH,54451.56830114036,IXS,21610.607032331678,IXS_per_ETH,21263.427572778233,IXS_per_ETH,1.6065234032252171,1.306523403225217,0.003
UniV2 pre,23591325,1760631059,2025-10-16 16:10:59+00:00,ETH->IXS,50000.0,3905.016556214217,0.1806990683034453,12.804043025229406,ETH,258697.39226412072,IXS,21610.607032331678,IXS_per_ETH,20204.351996816702,IXS_per_ETH,6.507244490684935,6.207244490684936,0.003
UniV2 pre,23591325,1760631059,2025-10-16 16:10:59+00:00,IXS->ETH,1000.0,3905.016556214217,0.1806990683034453,5534.062844865999,IXS,0.2549740491744299,ETH,4.6273572903523614e-05,ETH_per_IXS,4.6073573127376325e-05,ETH_per_IXS,0.43221165688733876,0.13221165688733874,0.003
UniV2 pre,23591325,1760631059,2025-10-16 16:10:59+00:00,IXS->ETH,5000.0,3905.016556214217,0.1806990683034453,27670.314224329995,IXS,1.2681435314303693,ETH,4.6273572903523614e-05,ETH_per_IXS,4.583047092090173e-05,ETH_per_IXS,0.9575702821688725,0.6575702821688726,0.003
UniV2 pre,23591325,1760631059,2025-10-16 16:10:59+00:00,IXS->ETH,10000.0,3905.016556214217,0.1806990683034453,55340.62844865999,IXS,2.5196686154940138,ETH,4.6273572903523614e-05,ETH_per_IXS,4.5530177125320026e-05,ETH_per_IXS,1.606523403225217,1.306523403225217,0.003
UniV2 pre,23591325,1760631059,2025-10-16 16:10:59+00:00,IXS->ETH,50000.0,3905.016556214217,0.1806990683034453,276703.1422433,IXS,11.970852640885237,ETH,4.6273572903523614e-05,ETH_per_IXS,4.3262438380116e-05,ETH_per_IXS,6.507244490684935,6.207244490684936,0.003
UniV2 pre,23591925,1760638271,2025-10-16 18:11:11+00:00,ETH->IXS,1000.0,3887.3559660155865,0.1726251068858474,0.25724425772743614,ETH,5767.668946170587,IXS,22519.064788102904,IXS_per_ETH,22420.982287899064,IXS_per_ETH,0.4355531685119527,0.1355531685119527,0.003
UniV2 pre,23591925,1760638271,2025-10-16 18:11:11+00:00,ETH->IXS,5000.0,3887.3559660155865,0.1726251068858474,1.2862212886371807,ETH,28682.357391841648,IXS,22519.064788102904,IXS_per_ETH,22299.706625313378,IXS_per_ETH,0.9740997899052024,0.6740997899052025,0.003
UniV2 pre,23591925,1760638271,2025-10-16 18:11:11+00:00,ETH->IXS,10000.0,3887.3559660155865,0.1726251068858474,2.5724425772743613,ETH,56979.46059694994,IXS,22519.064788102904,IXS_per_ETH,22149.944609190337,IXS_per_ETH,1.6391452415358625,1.3391452415358625,0.003
UniV2 pre,23591925,1760638271,2025-10-16 18:11:11+00:00,ETH->IXS,50000.0,3887.3559660155865,0.1726251068858474,12.862212886371806,ETH,270371.07857844123,IXS,22519.064788102904,IXS_per_ETH,21020.57250699945,IXS_per_ETH,6.654327323109468,6.354327323109468,0.003
UniV2 pre,23591925,1760638271,2025-10-16 18:11:11+00:00,IXS->ETH,1000.0,3887.3559660155865,0.1726251068858474,5792.900106131576,IXS,0.25612382221208924,ETH,4.440681748596914e-05,ETH_per_IXS,4.421340218537368e-05,ETH_per_IXS,0.43555316851195236,0.13555316851195237,0.003
UniV2 pre,23591925,1760638271,2025-10-16 18:11:11+00:00,IXS->ETH,5000.0,3887.3559660155865,0.1726251068858474,28964.50053065788,IXS,1.27369220976685,ETH,4.440681748596914e-05,ETH_per_IXS,4.397425077013473e-05,ETH_per_IXS,0.9740997899052024,0.6740997899052024,0.003
UniV2 pre,23591925,1760638271,2025-10-16 18:11:11+00:00,IXS->ETH,10000.0,3887.3559660155865,0.1726251068858474,57929.00106131576,IXS,2.5302765071777262,ETH,4.440681748596914e-05,ETH_per_IXS,4.367892525023036e-05,ETH_per_IXS,1.6391452415358625,1.3391452415358625,0.003
UniV2 pre,23591925,1760638271,2025-10-16 18:11:11+00:00,IXS->ETH,50000.0,3887.3559660155865,0.1726251068858474,289645.00530657877,IXS,12.00631913991746,ETH,4.440681748596914e-05,ETH_per_IXS,4.145184249667694e-05,ETH_per_IXS,6.654327323109468,6.354327323109468,0.003
UniV2 pre,23592525,1760645471,2025-10-16 20:11:11+00:00,ETH->IXS,1000.0,3873.120702946712,0.17835351210259764,0.258189732955957,ETH,5582.530991758455,IXS,21715.976642605747,IXS_per_ETH,21621.816359021308,IXS_per_ETH,0.43359911982820876,0.13359911982820874,0.003
UniV2 pre,23592525,1760645471,2025-10-16 20:11:11+00:00,ETH->IXS,5000.0,3873.120702946712,0.17835351210259764,1.290948664779785,ETH,27763.83953153192,IXS,21715.976642605747,IXS_per_ETH,21506.540336573322,IXS_per_ETH,0.9644342019668598,0.6644342019668598,0.003
UniV2 pre,23592525,1760645471,2025-10-16 20:11:11+00:00,ETH->IXS,10000.0,3873.120702946712,0.17835351210259764,2.58189732955957,ETH,55160.07385093167,IXS,21715.976642605747,IXS_per_ETH,21364.162400811303,IXS_per_ETH,1.6200710084767802,1.3200710084767802,0.003
UniV2 pre,23592525,1760645471,2025-10-16 20:11:11+00:00,ETH->IXS,50000.0,3873.120702946712,0.17835351210259764,12.90948664779785,ETH,261928.1998304387,IXS,21715.976642605747,IXS_per_ETH,20289.590668976714,IXS_per_ETH,6.568371283060469,6.268371283060469,0.003
UniV2 pre,23592525,1760645471,2025-10-16 20:11:11+00:00,IXS->ETH,1000.0,3873.120702946712,0.17835351210259764,5606.842210232177,IXS,0.2570702245463732,ETH,4.604904566152673e-05,ETH_per_IXS,4.584937740484906e-05,ETH_per_IXS,0.4335991198282087,0.1335991198282087,0.003
UniV2 pre,23592525,1760645471,2025-10-16 20:11:11+00:00,IXS->ETH,5000.0,3873.120702946712,0.17835351210259764,28034.211051160888,IXS,1.2784983143268143,ETH,4.604904566152673e-05,ETH_per_IXS,4.560493291548763e-05,ETH_per_IXS,0.9644342019668598,0.6644342019668598,0.003
UniV2 pre,23592525,1760645471,2025-10-16 20:11:11+00:00,IXS->ETH,10000.0,3873.120702946712,0.17835351210259764,56068.422102321776,IXS,2.5400687594547393,ETH,4.604904566152673e-05,ETH_per_IXS,4.53030184230841e-05,ETH_per_IXS,1.6200710084767802,1.3200710084767802,0.003
UniV2 pre,23592525,1760645471,2025-10-16 20:11:11+00:00,IXS->ETH,50000.0,3873.120702946712,0.17835351210259764,280342.1105116089,IXS,12.06154363403337,ETH,4.604904566152673e-05,ETH_per_IXS,4.3024373370171606e-05,ETH_per_IXS,6.568371283060469,6.268371283060469,0.003
UniV2 pre,23593125,1760652719,2025-10-16 22:11:59+00:00,ETH->IXS,1000.0,3869.911517636345,0.17753414019226374,0.25840384087406154,ETH,5608.276266950125,IXS,21798.125777077894,IXS_per_ETH,21703.532919556852,IXS_per_ETH,0.4339494986330968,0.1339494986330968,0.003
UniV2 pre,23593125,1760652719,2025-10-16 22:11:59+00:00,ETH->IXS,5000.0,3869.911517636345,0.17753414019226374,1.2920192043703078,ETH,27891.489617582905,IXS,21798.125777077894,IXS_per_ETH,21587.519383023722,IXS_per_ETH,0.9661674412193629,0.6661674412193629,0.003
UniV2 pre,23593125,1760652719,2025-10-16 22:11:59+00:00,ETH->IXS,10000.0,3869.911517636345,0.17753414019226374,2.5840384087406156,ETH,55412.72693313937,IXS,21798.125777077894,IXS_per_ETH,21444.23501821937,IXS_per_ETH,1.6234916821640784,1.3234916821640783,0.003
UniV2 pre,23593125,1760652719,2025-10-16 22:11:59+00:00,ETH->IXS,50000.0,3869.911517636345,0.17753414019226374,12.920192043703077,ETH,263093.63515675877,IXS,21798.125777077894,IXS_per_ETH,20362.9817781991,IXS_per_ETH,6.583795384775406,6.283795384775406,0.003
UniV2 pre,23593125,1760652719,2025-10-16 22:11:59+00:00,IXS->ETH,1000.0,3869.911517636345,0.17753414019226374,5632.719424652815,IXS,0.2572824987021399,ETH,4.587550371195505e-05,ETH_per_IXS,4.5676427193601614e-05,ETH_per_IXS,0.4339494986330966,0.13394949863309663,0.003
