block_number,timestamp,datetime_utc,vault_owner,vault,module,poolKey_currency0,poolKey_currency1,poolKey_symbol0,poolKey_symbol1,fee_uint24,fee_rate,tick_spacing,hooks,vault_underlying0_raw,vault_underlying1_raw,vault_underlying0,vault_underlying1,underlying_mapping_mode,amt_eth,amt_ixs,eth_usd,spot_ixs_per_eth,spot_eth_per_ixs,ixs_usd,value_eth_usd,value_ixs_usd,value_total_usd,ixs_symbol,eth_symbol,hold_value_usd,full_range_lp_amt_ixs,full_range_lp_amt_eth,full_range_lp_value_usd,vault_value_index,hold_value_index,full_range_lp_value_index
24193326,1767915947,2026-01-08 23:45:47+00:00,0xe35AA548804D8973af16bC24d1083D454E81ba7B,0x90bdE935Ce7FEB6636aFD5A1A0340af45EEAe600,0xC56d93dD1D48f93814901cF685C3cD0eAc0E849D,0x0000000000000000000000000000000000000000,0x73d7c860998CA3c01Ce8c808F5577d94d545d1b4,ETH,IXS,7000,0.007,50,0x0000000000000000000000000000000000000000,4120576817496147541095317,102968477976482143754,4120576.817496147541095317,102.968477976482143754,u0_ixs_u1_eth,102.96847797648215,4120576.8174961475,3108.7397901184363,25151.627894950412,3.975885792270193e-05,0.12359994363396913,320102.20461342396,509303.06238196377,829405.2669953877,IXS,ETH,451851.88967052574,1826998.2477664999,72.63936375797364,451633.7608865994,1.4234306355589519,0.7754711093434696,0.790186707682918
24193926,1767923183,2026-01-09 01:46:23+00:00,0xe35AA548804D8973af16bC24d1083D454E81ba7B,0x90bdE935Ce7FEB6636aFD5A1A0340af45EEAe600,0xC56d93dD1D48f93814901cF685C3cD0eAc0E849D,0x0000000000000000000000000000000000000000,0x73d7c860998CA3c01Ce8c808F5577d94d545d1b4,ETH,IXS,7000,0.007,50,0x0000000000000000000000000000000000000000,4120576817496147541095317,102968477976482143754,4120576.817496147541095317,102.968477976482143754,u0_ixs_u1_eth,102.96847797648215,4120576.8174961475,3098.178138586454,25151.627894950412,3.975885792270193e-05,0.12318002443127996,319014.68743025773,507572.75305014127,826587.4404803991,IXS,ETH,450316.765303431,1826998.2477664999,72.63936375797364,450099.37759156624,1.4185946636321574,0.7728365190647852,0.787502122540643
24194526,1767930419,2026-01-09 03:46:59+00:00,0xe35AA548804D8973af16bC24d1083D454E81ba7B,0x90bdE935Ce7FEB6636aFD5A1A0340af45EEAe600,0xC56d93dD1D48f93814901cF685C3cD0eAc0E849D,0x0000000000000000000000000000000000000000,0x73d7c860998CA3c01Ce8c808F5577d94d545d1b4,ETH,IXS,7000,0.007,50,0x0000000000000000000000000000000000000000,4169832146160914868285962,101035871130432045243,4169832.146160914868285962,101.035871130432045243,u0_ixs_u1_eth,101.03587113043204,4169832.146160915,3114.8872425286318,25679.315469048594,3.8941848010135046e-05,0.12129946556725864,314715.34602194966,505798.4108344941,820513.7568564437,IXS,ETH,447949.1295274353,1846064.2094898769,71.8891518629049,447853.2040279318,1.4081709688654844,0.7687731673698937,0.7835721760954338
24195126,1767937631,2026-01-09 05:47:11+00:00,0xe35AA548804D8973af16bC24d1083D454E81ba7B,0x90bdE935Ce7FEB6636aFD5A1A0340af45EEAe600,0xC56d93dD1D48f93814901cF685C3cD0eAc0E849D,0x0000000000000000000000000000000000000000,0x73d7c860998CA3c01Ce8c808F5577d94d545d1b4,ETH,IXS,7000,0.007,50,0x0000000000000000000000000000000000000000,4172853914575420457631080,100918691101967963421,4172853.91457542045763108,100.918691101967963421,u0_ixs_u1_eth,100.91869110196797,4172853.9145754203,3112.8831015653623,25714.35289251988,3.888878729244215e-05,0.12105624880301295,314148.0881634108,505150.04170146864,819298.1298648794,IXS,ETH,447349.6214207016,1847323.1855210143,71.84015842212337,447260.03033201274,1.4060847020306073,0.7677442877143762,0.7825343485226186
24195726,1767944867,2026-01-09 07:47:47+00:00,0xe35AA548804D8973af16bC24d1083D454E81ba7B,0x90bdE935Ce7FEB6636aFD5A1A0340af45EEAe600,0xC56d93dD1D48f93814901cF685C3cD0eAc0E849D,0x0000000000000000000000000000000000000000,0x73d7c860998CA3c01Ce8c808F5577d94d545d1b4,ETH,IXS,7000,0.007,50,0x0000000000000000000000000000000000000000,4207382953472920457631080,99590954684584361124,4207382.95347292045763108,99.590954684584361124,u0_ixs_u1_eth,99.59095468458436,4207382.953472921,3110.975224888028,26116.41323544153,3.829009715020669e-05,0.11911954359284868,309824.99264668825,501181.537138026,811006.5297847142,IXS,ETH,443565.2246183023,1861709.2093276076,71.28502649058858,443531.90263541567,1.3918546048253337,0.7612494816647825,0.7760115479582577
24196326,1767952091,2026-01-09 09:48:11+00:00,0xe35AA548804D8973af16bC24d1083D454E81ba7B,0x90bdE935Ce7FEB6636aFD5A1A0340af45EEAe600,0xC56d93dD1D48f93814901cF685C3cD0eAc0E849D,0x0000000000000000000000000000000000000000,0x73d7c860998CA3c01Ce8c808F5577d94d545d1b4,ETH,IXS,7000,0.007,50,0x0000000000000000000000000000000000000000,4210462551303474199633852,99475201881719706067,4210462.551303474199633852,99.475201881719706067,u0_ixs_u1_eth,99.47520188171971,4210462.551303474,3090.4788778130783,26152.167843227566,3.823774786069839e-05,0.11817295209863059,307426.0102816465,497562.78938826337,804988.7996699099,IXS,ETH,440337.9295954981,1862983.157534462,71.23628024653051,440308.4388717511,1.381526937829718,0.7557107772602539,0.7703717166627738
24196926,1767959303,2026-01-09 11:48:23+00:00,0xe35AA548804D8973af16bC24d1083D454E81ba7B,0x90bdE935Ce7FEB6636aFD5A1A0340af45EEAe600,0xC56d93dD1D48f93814901cF685C3cD0eAc0E849D,0x0000000000000000000000000000000000000000,0x73d7c860998CA3c01Ce8c808F5577d94d545d1b4,ETH,IXS,7000,0.007,50,0x0000000000000000000000000000000000000000,4161296982958555638770819,101382858040355811913,4161296.982958555638770819,101.382858040355811913,u0_ixs_u1_eth,101.38285804035581,4161296.9829585557,3091.0232915887914,25578.221214762736,3.9095760084475284e-05,0.12084590502348047,313376.77557057975,502875.6999771055,816252.4755476853,IXS,ETH,445413.9002002734,1842426.8359598,72.03107755188324,445299.4768622193,1.4008577305693317,0.7644221905482456,0.7791041282297618
24197526,1767966539,2026-01-09 13:48:59+00:00,0xe35AA548804D8973af16bC24d1083D454E81ba7B,0x90bdE935Ce7FEB6636aFD5A1A0340af45EEAe600,0xC56d93dD1D48f93814901cF685C3cD0eAc0E849D,0x0000000000000000000000000000000000000000,0x73d7c860998CA3c01Ce8c808F5577d94d545d1b4,ETH,IXS,7000,0.007,50,0x0000000000000000000000000000000000000000,4161296982958555638770819,101382858040355811913,4161296.982958555638770819,101.382858040355811913,u0_ixs_u1_eth,101.38285804035581,4161296.9829585557,3089.09202807272,25578.221214762736,3.9095760084475284e-05,0.12077040080839627,313180.9785556914,502561.5045146749,815742.4830703663,IXS,ETH,445135.6067246634,1842426.8359598,72.03107755188324,445021.25487802085,1.399982478210795,0.7639445815015917,0.7786173459456669
24198126,1767973775,2026-01-09 15:49:35+00:00,0xe35AA548804D8973af16bC24d1083D454E81ba7B,0x90bdE935Ce7FEB6636aFD5A1A0340af45EEAe600,0xC56d93dD1D48f93814901cF685C3cD0eAc0E849D,0x0000000000000000000000000000000000000000,0x73d7c860998CA3c01Ce8c808F5577d94d545d1b4,ETH,IXS,7000,0.007,50,0x0000000000000000000000000000000000000000,4140882232757641863705215,102187529193662994872,4140882.232757641863705215,102.187529193662994872,u0_ixs_u1_eth,102.187529193663,4140882.232757642,3114.169065808109,25341.775558985682,3.946053415524865e-05,0.12288677478653964,318229.24232626834,508859.6623544718,827088.9046807401,IXS,ETH,450890.1124608947,1833891.3469144702,72.3663321319334,450721.9858625247,1.4194552797070796,0.7738205011314786,0.7885914493855605
24198726,1767980999,2026-01-09 17:49:59+00:00,0xe35AA548804D8973af16bC24d1083D454E81ba7B,0x90bdE935Ce7FEB6636aFD5A1A0340af45EEAe600,0xC56d93dD1D48f93814901cF685C3cD0eAc0E849D,0x0000000000000000000000000000000000000000,0x73d7c860998CA3c01Ce8c808F5577d94d545d1b4,ETH,IXS,7000,0.007,50,0x0000000000000000000000000000000000000000,4074068618396757084356014,104861461635375243422,4074068.618396757084356014,104.861461635375243422,u0_ixs_u1_eth,104.86146163537525,4074068.618396757,3113.443365186692,24865.188239040213,4.0216868273288394e-05,0.12521294169405692,326480.2219924379,510126.11637290014,836606.338365338,IXS,ETH,455223.06869225414,1816565.060905837,73.05655776430815,454914.91010932706,1.435789160401658,0.7812567483892229,0.7959274665151048
